date,open,high,low,close,volume,labels
2020-03-04,637.0005,639.8005,604.2005,607.4005,46502239,0
2020-03-05,607.2005,614.0005,564.8005,587.2005,30602883,0
2020-03-06,572.0005,597.4005,566.0005,588.2005,30328645,0
2020-03-09,560.0005,579.0005,551.4005,568.2005,31554866,0
2020-03-10,567.6005,586.0005,550.4005,557.4005,33864988,0
2020-03-11,561.8005,564.8005,532.4004,537.6005,51212964,0
2020-03-12,452.0004,495.4004,451.2004,451.2004,54795058,0
2020-03-13,468.6004,498.8004,455.0004,480.0004,38216531,0
2020-03-16,450.0004,454.5004,347.3003,430.0004,34083365,0
2020-03-17,443.0004,449.0004,372.9003,388.5003,34500945,0
2020-03-18,372.1003,378.2003,312.6003,346.4003,49171777,0
2020-03-19,347.9003,374.5003,306.1003,365.3003,63970940,0
2020-03-20,379.4003,384.1003,344.4003,359.4003,86335153,0
2020-03-23,333.0003,344.2003,300.0003,336.1003,140638152,0
2020-03-24,351.3003,355.0003,322.2003,350.1003,56664023,0
2020-03-25,362.0003,397.1003,342.2003,397.0003,37677727,0
2020-03-26,389.9003,407.1003,380.0003,405.2003,45344293,0
2020-03-27,397.3003,407.3063,361.9003,364.7003,34786607,0
2020-03-30,350.0003,355.0003,307.1003,321.3003,50541162,0
2020-03-31,325.1003,346.9003,324.1003,340.6003,41481054,0
2020-04-01,328.8003,331.6003,300.4003,305.0003,53832786,0
2020-04-02,300.0003,300.7003,262.5002,278.3002,60513543,0
2020-04-03,280.0002,290.2002,249.0002,251.6002,49389368,0
2020-04-06,261.6002,304.9003,261.4002,297.7002,94655125,0
2020-04-07,305.0003,356.0023,300.2291,335.7003,63837481,0
2020-04-08,323.0003,331.2668,301.0893,326.2003,77421207,0
2020-04-09,332.1003,354.6003,324.7003,350.2003,69550598,0
2020-04-14,350.2003,350.2003,325.5003,335.5003,39936505,0
2020-04-15,338.0003,339.1478,309.0003,310.0003,30917860,0
2020-04-16,317.7003,330.0003,307.2003,309.1003,29381179,0
2020-04-17,327.6003,346.6003,322.1003,334.5003,40604195,0
